,fk_series_id,time_original,conc_original,conc_sd_original,conc_lower_bound_original,conc_upper_bound_original,no_conc_val_type,time_hr,conc,conc_sd,conc_lower_bound,conc_upper_bound,analyte_name_original,fk_analyzed_chemical_id,author_comment,conc_units_normalized,analytical_method_detail,n_subjects_in_series,fk_subject_id,conc_medium_normalized,curator_comment,fk_study_id,radiolabeled,analyte_dtxsid,analyte_casrn,test_substance_dtxsid,test_substance_casrn,fk_test_chemical_id,fk_dosed_chemical_id,dose_level_normalized,administration_route_normalized,dose_duration,parameter_name,parameter_value,species,sex,age,age_category,notes,subtype,height,weight,weight_kg,weight_estimated,series_length
0,1,0.069826356,2.618893264,,,,,0.06982,0.00261,,,,Solvent red1,1.0,mean values,,,6.0,1,blood,,1157,,DTXSID3061635,1229-55-6,DTXSID3061635,1229-55-6,1,1,20.0,oral,,AUC,1060.63408323,rat,,,,"half male, half female; healthy and drug-free",Sprague Dawley,,200 ± 20 g,0.2,0.0,16
1,1,0.23992755,122.1567134,,,,,0.23992,0.12215,,,,Solvent red1,1.0,mean values,,,6.0,1,blood,,1157,,DTXSID3061635,1229-55-6,DTXSID3061635,1229-55-6,1,1,20.0,oral,,AUC,1060.63408323,rat,,,,"half male, half female; healthy and drug-free",Sprague Dawley,,200 ± 20 g,0.2,0.0,16
2,1,0.40765333,340.571116,47.781569965871,,,,0.40765,0.34057,,,,Solvent red1,1.0,mean values,,,6.0,1,blood,,1157,,DTXSID3061635,1229-55-6,DTXSID3061635,1229-55-6,1,1,20.0,oral,,AUC,1060.63408323,rat,,,,"half male, half female; healthy and drug-free",Sprague Dawley,,200 ± 20 g,0.2,0.0,16
3,1,0.766815835,990.4318529,76.792296162309,,,,0.76681,0.99043,,,,Solvent red1,1.0,mean values,,,6.0,1,blood,,1157,,DTXSID3061635,1229-55-6,DTXSID3061635,1229-55-6,1,1,20.0,oral,,AUC,1060.63408323,rat,,,,"half male, half female; healthy and drug-free",Sprague Dawley,,200 ± 20 g,0.2,0.0,16
4,1,1.066636194,510.4093944,54.607508532423,,,,1.06663,0.5104,,,,Solvent red1,1.0,mean values,,,6.0,1,blood,,1157,,DTXSID3061635,1229-55-6,DTXSID3061635,1229-55-6,1,1,20.0,oral,,AUC,1060.63408323,rat,,,,"half male, half female; healthy and drug-free",Sprague Dawley,,200 ± 20 g,0.2,0.0,16
5,1,1.605649885,273.9645245,27.303754266211,,,,1.60564,0.27396,,,,Solvent red1,1.0,mean values,,,6.0,1,blood,,1157,,DTXSID3061635,1229-55-6,DTXSID3061635,1229-55-6,1,1,20.0,oral,,AUC,1060.63408323,rat,,,,"half male, half female; healthy and drug-free",Sprague Dawley,,200 ± 20 g,0.2,0.0,16
6,1,2.084565617,139.0971899,37.542662116041,,,,2.08456,0.13909,,,,Solvent red1,1.0,mean values,,,6.0,1,blood,,1157,,DTXSID3061635,1229-55-6,DTXSID3061635,1229-55-6,1,1,20.0,oral,,AUC,1060.63408323,rat,,,,"half male, half female; healthy and drug-free",Sprague Dawley,,200 ± 20 g,0.2,0.0,16
7,1,2.56140826,90.52214556,46.9278403564612,,,,2.5614,0.09052,,,,Solvent red1,1.0,mean values,,,6.0,1,blood,,1157,,DTXSID3061635,1229-55-6,DTXSID3061635,1229-55-6,1,1,20.0,oral,,AUC,1060.63408323,rat,,,,"half male, half female; healthy and drug-free",Sprague Dawley,,200 ± 20 g,0.2,0.0,16
8,1,3.614720545,46.39830194,11.9453924914679,,,,3.61472,0.04639,,,,Solvent red1,1.0,mean values,,,6.0,1,blood,,1157,,DTXSID3061635,1229-55-6,DTXSID3061635,1229-55-6,1,1,20.0,oral,,AUC,1060.63408323,rat,,,,"half male, half female; healthy and drug-free",Sprague Dawley,,200 ± 20 g,0.2,0.0,16
9,1,4.566807827,15.76518679,25.5967823359835,,,,4.5668,0.01576,,,,Solvent red1,1.0,mean values,,,6.0,1,blood,,1157,,DTXSID3061635,1229-55-6,DTXSID3061635,1229-55-6,1,1,20.0,oral,,AUC,1060.63408323,rat,,,,"half male, half female; healthy and drug-free",Sprague Dawley,,200 ± 20 g,0.2,0.0,16
10,1,5.518290458,10.30065625,18.77133105802,,,,5.51829,0.0103,,,,Solvent red1,1.0,mean values,,,6.0,1,blood,,1157,,DTXSID3061635,1229-55-6,DTXSID3061635,1229-55-6,1,1,20.0,oral,,AUC,1060.63408323,rat,,,,"half male, half female; healthy and drug-free",Sprague Dawley,,200 ± 20 g,0.2,0.0,16
11,1,7.579598618,8.348498338,11.092150170648,,,,7.57959,0.00834,,,,Solvent red1,1.0,mean values,,,6.0,1,blood,,1157,,DTXSID3061635,1229-55-6,DTXSID3061635,1229-55-6,1,1,20.0,oral,,AUC,1060.63408323,rat,,,,"half male, half female; healthy and drug-free",Sprague Dawley,,200 ± 20 g,0.2,0.0,16
12,1,9.583292206,4.602903313,,,,,9.58329,0.0046,,,,Solvent red1,1.0,mean values,,,6.0,1,blood,,1157,,DTXSID3061635,1229-55-6,DTXSID3061635,1229-55-6,1,1,20.0,oral,,AUC,1060.63408323,rat,,,,"half male, half female; healthy and drug-free",Sprague Dawley,,200 ± 20 g,0.2,0.0,16
13,1,13.08600121,4.340528107,,,,,13.086,0.00434,,,,Solvent red1,1.0,mean values,,,6.0,1,blood,,1157,,DTXSID3061635,1229-55-6,DTXSID3061635,1229-55-6,1,1,20.0,oral,,AUC,1060.63408323,rat,,,,"half male, half female; healthy and drug-free",Sprague Dawley,,200 ± 20 g,0.2,0.0,16
14,1,18.04463348,1.272465765,,,,,18.04463,0.00127,,,,Solvent red1,1.0,mean values,,,6.0,1,blood,,1157,,DTXSID3061635,1229-55-6,DTXSID3061635,1229-55-6,1,1,20.0,oral,,AUC,1060.63408323,rat,,,,"half male, half female; healthy and drug-free",Sprague Dawley,,200 ± 20 g,0.2,0.0,16
15,1,24.02662622,0.82437642,,,,,24.02662,0.00082,,,,Solvent red1,1.0,mean values,,,6.0,1,blood,,1157,,DTXSID3061635,1229-55-6,DTXSID3061635,1229-55-6,1,1,20.0,oral,,AUC,1060.63408323,rat,,,,"half male, half female; healthy and drug-free",Sprague Dawley,,200 ± 20 g,0.2,0.0,16
16,2,0.010920193,670.0474694,,,,,0.26208,0.67004,,,,musk moskene,2.0,"30 embryos in 2 petri dishes, multiple data points per time point, overlapping points made accurate capture difficult",,,30.0,2,,,1158,,DTXSID6044519,116-66-5,DTXSID6044519,116-66-5,2,2,,dermal,10 days,AUC,1855.04902079,frog,,embyro,,,xenopus laevis,,,,,8
